issn,member,created_date
2299-9701,374,2021-04-27
2086-1400,10205,2020-12-31
1867-8777,11926,2018-01-17
2092-6332,25304,2021-11-09
1577-8517,2704,2014-02-03
0731-7115,260,2013-04-30
1606-7479,2895,2021-06-25
1527-8204,22,2021-10-12
2618-9828,25202,2021-10-05
1705-2947,8280,2020-02-29
1464-3154,138,2010-12-24
2603-3542,4381,2021-08-10
2621-8704,18978,2021-02-21
2090-3065,98,2021-03-29
0955-2065,140,2014-11-13
2327-1485,1121,2015-06-30
2048-8467,378,2021-07-14
2165-3348,2751,2021-11-15
0026-6493,1121,2007-02-02
1092-678X,301,2005-01-14
2162-5263,6863,2021-11-17
2156-2261,73,2021-11-11
2572-6862,10348,2021-02-09
2365-0613,297,2021-09-23
2196-8284,5267,2021-06-23
1545-4509,22,2021-10-05
0014-1445,28450,2021-11-17
2196-3010,297,2021-10-14
2682-4795,9060,2021-10-23
2582-2845,7999,2021-09-01
2309-9070,6689,2021-10-28
0096-5588,78,2020-07-18
2528-7966,24577,2021-10-12
1657-0111,17981,2021-11-02
2723-7206,24558,2021-05-11
1057-1027,3884,2021-10-09
2231-1920,3062,2019-03-08
1084-4945,16089,2021-02-08
2412-026X,7748,2015-08-31
2047-7252,378,2021-11-19
2085-7357,10326,2021-11-18
2654-4229,17652,2021-07-06
2154-4271,301,2013-03-05
2515-2947,265,2021-11-13
2714-6219,10930,2021-09-30
2372-1952,8817,2021-05-17
1825-3997,29401,2021-10-18
2090-1992,98,2018-11-12
2671-5554,20391,2020-02-13
1938-5307,1234,2019-07-29
2087-9059,11796,2021-10-02
1748-944X,6588,2021-10-22
1984-2295,3948,2017-08-17
2410-4639,9462,2020-12-29
1453-0201,11617,2021-07-02
2328-7306,4952,2021-08-05
1005-8885,78,2017-12-12
1762-4231,78,2005-12-03
2406-0976,1078,2021-07-08
2250-107X,4722,2018-06-15
0023-8368,2273,2021-12-25
0065-2423,78,2021-11-19
2090-5173,98,2017-12-10
1478-2405,179,2020-01-06
1074-8121,140,2021-10-05
1671-3990,2026,2014-06-28
1744-0548,301,2021-12-25
2392-4632,9803,2019-06-29
2722-5798,19705,2021-08-06
2661-8672,297,2021-11-24
2716-6678,11023,2021-11-02
1309-6273,5914,2017-12-30
1308-2140,27769,2021-11-14
2195-9056,297,2021-04-25
1996-3270,4456,2012-01-03
2091-0487,1670,2020-02-14
2519-7002,9894,2021-10-13
2737-6273,25391,2021-11-16
2102-5452,2399,2021-11-09
0030-851X,3465,2021-11-26
2528-9861,7771,2021-08-01
2476-0757,9999,2021-09-25
0004-0428,2373,2021-11-25
2050-2389,4912,2019-12-13
1071-1031,1121,2006-06-16
2377-1658,6707,2020-01-08
2149-2468,6957,2019-05-13
2573-3168,1015,2021-09-09
2356-3966,17408,2021-07-07
1573-3386,297,2008-03-30
2050-0750,358,2020-01-29
0305-8034,138,2014-01-09
2528-262X,8184,2021-09-07
0936-9856,297,2019-12-15
0018-9472,263,2021-03-09
1754-3827,1320,2010-04-14
2407-1765,11399,2021-05-09
1616-9697,194,2021-09-29
2364-1010,297,2021-11-11
1573-5214,301,2020-12-04
1680-7626,28750,2021-11-09
1518-5192,3785,2021-11-23
1857-9388,2248,2017-12-28
1472-9725,311,2020-10-22
1743-9647,301,2011-09-14
1534-1453,73,2021-11-04
2391-5145,10947,2021-04-19
1390-8626,6739,2021-07-15
0147-2526,301,2021-10-23
1091-7640,301,2007-07-07
2091-0363,1670,2020-11-13
1949-2944,33,2020-08-10
1478-341X,2165,2021-11-17
2195-3996,297,2021-06-10
1998-9261,1861,2021-06-29
2406-047X,9450,2021-11-23
2043-1023,358,2016-02-15
2325-9965,15,2021-10-07
1687-6814,98,2017-07-25
1871-7942,297,2009-06-01
2224-3682,301,2019-03-08
2548-9089,29409,2021-11-03
1648-5831,6097,2021-12-11
1960-2081,1762,2010-12-09
2577-509X,2986,2021-09-28
0792-1233,374,2021-02-28
2600-9226,4787,2021-11-15
1225-3154,20306,2021-09-30
2090-4649,98,2017-12-10
0031-935X,200,2016-01-07
0326-9620,25630,2021-11-08
1743-2766,301,2014-01-09
2179-8001,9749,2021-06-23
1937-3929,2094,2021-02-10
1226-1750,2816,2021-10-08
1010-660X,1968,2020-04-01
0031-8221,1121,2006-05-05
0168-6291,297,2013-05-25
1545-4576,278,2012-11-02
1673-3584,297,2011-12-13
1678-9199,297,2018-12-27
2179-3565,10019,2021-04-12
2715-0453,22297,2021-02-14
1965-0183,2273,2020-12-12
0185-1918,78,2017-12-09
1479-7801,301,2021-03-30
2360-8560,3908,2018-08-21
1938-9019,793,2018-09-13
0166-2287,78,2019-01-24
2715-7059,6098,2020-12-30
2633-4941,179,2021-08-06
0967-0769,286,2021-11-12
0094-5056,297,2021-11-19
0121-4381,5496,2021-10-10
2377-2301,3242,2021-05-21
1533-2594,301,2012-10-19
2157-7633,2674,2019-02-21
2153-8999,5033,2021-12-04
0213-1285,2868,2021-08-05
1759-7331,2359,2019-05-07
2593-8355,17342,2021-09-05
2351-7549,4024,2020-01-04
1807-9415,2260,2020-09-01
1130-2542,78,2009-12-22
1934-8045,1627,2021-09-07
1742-5549,378,2020-02-29
2150-1297,179,2013-11-19
1705-1495,4194,2021-01-27
1746-0220,301,2013-10-09
0276-2854,50,2021-10-29
1471-5945,297,2020-12-20
2688-3554,3884,2021-10-30
2340-2792,12278,2021-09-27
2500-9311,5604,2021-03-09
1015-8634,2618,2017-07-14
2356-7503,98,2017-04-10
1674-3466,2026,2016-01-11
0265-6914,179,2021-11-17
0022-3921,311,2016-02-24
2329-7018,301,2021-10-21
1677-5937,7226,2021-04-19
2264-5306,2273,2021-01-22
0000-0000,311,2018-08-03
2520-8780,297,2021-10-01
2797-8478,8174,2021-10-21
2578-5044,9969,2018-09-01
1598-4494,9959,2021-09-23
2281-2075,30777,2021-01-20
0147-9121,140,2021-11-15
2717-896X,9235,2021-04-15
2181-8584,21428,2019-08-26
2146-4553,17629,2021-11-19
2088-589X,29481,2021-11-19
2504-2750,22676,2021-10-26
2775-5835,18762,2021-12-25
1071-1023,20,2014-03-07
0003-701X,1627,2021-11-17
0029-554X,78,2012-10-30
1598-0928,10034,2021-07-26
2190-6203,297,2021-06-04
1413-7755,530,2021-10-11
1542-6351,252,2021-01-05
1982-2278,2040,2021-06-02
2303-1018,10462,2021-07-29
1729-8687,30361,2021-10-04
1000-9345,2265,2017-01-13
0098-7913,301,2021-11-17
0719-4242,9637,2021-10-22
0940-7391,56,2021-11-26
0303-6405,297,2013-06-01
0011-7471,78,2020-01-23
1999-0391,1963,2020-02-08
2148-8223,6957,2018-05-01
2614-5812,18302,2020-12-21
2244-1484,4454,2017-01-16
2081-8319,10798,2018-09-23
1300-0101,29389,2018-12-13
2579-9738,11257,2019-11-29
1563-034X,11115,2021-04-06
2085-3696,17917,2021-08-13
1990-8997,25680,2021-11-02
1686-3933,27549,2021-09-20
2256-5027,8724,2021-08-02
2798-0499,31821,2021-11-09
2059-7657,219,2021-09-30
2502-6747,6946,2021-10-14
2522-5987,297,2021-11-18
1875-9181,78,2021-11-04
0335-5004,250,2021-11-19
1943-8117,301,2021-11-17
2328-7144,6863,2021-11-05
1052-2891,311,2021-11-03
0127-4082,8963,2021-11-01
1085-5629,5043,2019-05-03
2074-5842,1963,2021-06-17
2589-255X,50,2021-10-29
1573-4412,78,2020-11-25
0719-8175,9468,2021-11-18
1793-0952,219,2012-07-18
1747-5767,301,2021-11-26
0082-0717,14,2020-04-06
2313-7002,8264,2016-11-26
1945-9750,1015,2020-10-22
1309-5749,5966,2021-01-20
2383-6180,6771,2020-01-08
0304-3037,2273,2014-12-03
1731-2515,3061,2016-01-12
2688-8238,19081,2021-10-23
2442-2207,10334,2021-03-22
2617-0205,4425,2021-10-27
1462-5970,265,2006-12-26
1016-264X,101,2021-11-19
1931-4590,4495,2021-06-24
1944-4516,179,2017-01-05
1229-2796,20940,2021-09-17
1613-2637,12270,2021-10-22
2297-0290,297,2021-03-30
2163-9485,2751,2019-07-18
2218-0907,1963,2018-07-04
2409-7144,5808,2021-12-25
1988-7302,4247,2018-05-31
2582-4236,31084,2021-07-30
2167-2083,276,2013-09-04
0027-9013,311,2020-06-30
2224-4018,374,2021-09-30
1229-8328,5480,2017-03-16
0954-1446,301,2013-05-16
0927-5193,78,2016-08-02
2146-7765,16906,2018-12-25
2269-8450,2399,2021-11-16
2577-5669,3407,2021-12-26
2633-0709,17468,2021-05-20
0212-5382,78,2019-12-09
2172-0479,9225,2019-01-23
1598-849X,4651,2017-04-28
2374-2674,6329,2021-12-11
1068-3674,1627,2021-11-23
2455-3492,6959,2021-09-29
2039-0394,16236,2021-10-21
0001-5296,374,2014-01-29
0338-0599,2000,2014-01-06
1088-9868,301,2021-11-18
1552-5864,73,2021-10-29
2547-9733,11564,2021-09-27
1229-3288,10145,2021-11-03
2520-0925,16207,2021-11-18
0376-0464,297,2014-01-09
2452-1760,78,2021-07-12
1469-1957,301,2021-08-09
2299-3932,1320,2021-01-24
1545-8830,301,2019-01-23
2470-0991,6607,2021-11-11
2666-0547,78,2021-10-16
2619-1733,11997,2021-10-20
2233-7385,2521,2021-10-01
2213-1418,50,2021-11-28
1469-3712,301,2014-12-19
2619-1709,11625,2021-11-09
2303-3371,10462,2021-06-02
2163-257X,3951,2013-01-15
2391-6540,6464,2018-09-10
2662-5113,297,2021-11-27
1613-7612,30674,2021-11-23
2362-1206,1670,2021-09-20
1738-0545,8065,2021-11-09
1327-2314,7437,2021-11-16
2454-0617,5808,2021-12-25
0170-1789,101,2005-06-01
2512-0883,297,2020-08-14
2393-9117,5576,2021-09-21
1543-0375,147,2021-10-31
1234-5865,3689,2021-10-22
1872-5325,297,2015-11-23
2383-4897,9761,2021-12-12
1471-7697,78,2007-09-07
2579-7557,18652,2020-02-04
1435-5477,297,2013-05-24
2690-2664,28860,2021-10-26
2657-165X,17975,2021-08-31
2695-9747,5330,2021-09-29
0196-335X,78,2012-03-08
1473-5970,301,2021-11-11
1736-8812,5007,2021-07-01
2570-785X,10772,2021-09-24
0730-3084,301,2021-10-25
1913-4711,11723,2021-11-19
2070-7568,5019,2021-11-15
1930-076X,17626,2021-11-09
2548-8651,30511,2021-12-25
1049-510X,18154,2021-10-21
2620-598X,17917,2021-11-25
1476-8283,301,2003-11-11
2454-5880,8349,2021-11-15
1907-9737,17408,2021-04-02
0930-0325,297,2019-12-13
1756-4611,5520,2021-06-07
0020-7071,200,2021-09-28
1862-9121,297,2020-05-21
2508-8165,20434,2021-10-12
2252-9853,19924,2021-06-23
1572-0330,297,2020-11-27
1898-9934,374,2021-08-27
1183-2487,4194,2021-11-01
2732-6640,4964,2021-06-15
2305-297X,14870,2020-06-01
1390-0129,18646,2021-11-04
0975-7252,3062,2020-10-11
2523-2525,16167,2019-09-01
2410-910X,5282,2021-03-10
1389-689X,297,2013-03-26
2306-7179,10884,2021-04-17
2776-7280,21755,2021-08-02
2077-9828,9600,2021-10-25
0029-666X,276,2021-11-23
2303-0364,18968,2021-11-04
0103-8427,3790,2021-11-26
1537-5366,200,2021-11-16
1870-6622,7755,2021-06-25
1570-0631,50,2021-10-29
0233-187X,7822,2014-08-06
1882-2576,1788,2021-10-20
2302-5476,10166,2021-08-18
1753-9420,378,2017-09-04
0317-0861,1696,2021-11-13
1748-6831,301,2012-12-17
1516-1021,19922,2021-09-30
1364-0429,3285,2021-09-23
1060-9393,301,2021-09-17
1348-6276,897,2021-11-25
2075-1508,6225,2021-07-10
2255-078X,6215,2017-02-07
2409-983X,6053,2021-11-18
1613-4877,374,2021-07-27
2149-7109,3111,2020-12-29
2303-4858,374,2021-08-27
2317-2983,5064,2021-11-24
2288-1026,5368,2016-07-11
1468-0041,311,2007-10-09
2254-8408,4283,2021-09-30
2654-8194,17939,2021-04-30
1568-3540,9293,2021-01-26
1382-4406,297,2021-11-22
2661-4413,18588,2021-07-03
2157-5452,910,2021-11-03
1999-0669,1963,2014-01-07
2005-9655,2771,2018-04-16
2500-1558,8805,2021-10-08
2229-6689,4682,2013-02-16
1978-6034,10812,2021-10-09
0976-3937,17415,2020-01-13
1567-6587,297,2016-07-07
1553-6939,7172,2021-06-16
2456-060X,8352,2021-09-02
1267-4982,2273,2021-12-04
2329-6771,2674,2019-04-03
1481-5869,4194,2016-12-07
2363-6793,2101,2015-12-09
2317-4536,5117,2021-09-23
0738-0577,260,2008-12-30
2689-1816,311,2021-12-04
2147-6756,3570,2018-01-14
0020-8345,179,2021-10-11
2090-5742,98,2011-12-26
0212-2952,3169,2021-07-15
1662-4009,127,2015-01-29
0030-4387,78,2021-10-02
2686-729X,5666,2021-01-19
2288-3991,2108,2021-10-20
2074-3637,1963,2013-10-26
2526-9062,23145,2021-10-11
1300-9206,17729,2021-10-28
2308-7846,14870,2021-10-24
0122-2066,7634,2021-10-01
2722-3051,16717,2020-05-27
1932-8796,200,2021-05-24
1907-7238,8613,2021-01-14
0534-0012,1078,2021-08-25
2338-5847,9411,2021-09-30
1983-3156,10019,2021-09-17
1310-0505,19961,2021-07-27
2223-0521,16214,2021-10-26
2307-9428,5019,2019-01-07
2597-890X,29614,2021-09-30
2352-9482,3285,2017-07-14
1682-3206,10792,2021-03-09
